20120927113901,-11.83,-76.48,100,4.4,"III Matucana- Chosica- San Mateo- Ricardo Palma/ III-II Lima"
20120929124856,-17.67,-69.82,139,5.0,"II-III Tacna"
20120930013749,-14.58,-76.04,38,3.9,"II Ica"
20121001055118,-8.87,-75.68,128,4.5,"II Aguayt?a"
20121003054854,-14.39,-76.31,30,4.8,"III Ica Pisco"
20121008093226,-14.06,-76.32,39,4.5,"III Pisco II Ica"
20121009121237,-9.64,-79.91,22,4.2,"II Chimbote"
20121010115055,-14.22,-75.77,57,4.0,"II Ica"
20121011064747,-10.12,-79.80,47,4.2,"II Chimbote"
20121014115029,-11.98,-77.60,30,3.7,"II Lima"
20121016092556,-13.62,-70.63,11,4.6,"IV San Gaban"
20121018081628,-12.57,-77.06,46,4.0,"II Lima"
20121019104247,-7.48,-80.20,30,4.3,"II Chiclayo"
20121021083323,-13.48,-71.96,12,3.9,"III Cusco"
20121022092658,-12.09,-76.93,48,3.8,"II Lima"
20121025034934,-5.83,-76.43,110,5.5,"III-IV Yurimaguas/ III Moyobamba/ II Lamas"
20121025072831,-14.72,-74.53,66,4.4,"II Puquio- Nasca"
20121030024853,-12.54,-76.85,52,3.9,"II Lima"
20121030083546,-12.58,-76.92,56,3.9,"II Lima"
20121030024454,-12.52,-76.83,55,4.3,"III Lima"
20121031083725,-11.96,-76.01,22,4.7,"III Matucana/ II La Oroya- Lima"
20121031085331,-11.95,-76.00,21,4.3,"II Matucana"
20121103085212,-12.13,-76.03,110,4.7,"III-IV Yauyos/ III Lima"
20121104013736,-16.01,-72.30,106,5.1,"III-IV Aplao/ III Arequipa/ II-III Oco?a- Caman?- Mollendo"
20121104032938,-13.58,-76.02,85,4.0,"II Chincha"
20121105030811,-12.51,-76.81,50,3.9,"II Lima"
20121110015744,-12.45,-76.71,45,3.9,"II Lima"
20121110095749,-8.88,-75.19,135,6.0,"IV-V Aguaytia"
20121112100347,-12.56,-76.81,38,3.9,"II Lima"
20121113124858,-12.61,-76.77,50,4.0,"II Lima"
20121115072155,-13.30,-76.68,57,4.8,"III San Vicente de Ca?ete- Chincha Alta/ II-III Lunahuana/ II Lima- Ica"
20121117092328,-9.83,-78.75,56,4.2,"II Casma"
20121119053023,-10.09,-78.60,55,4.3,"II Huarmey"
20121120121114,-12.26,-77.04,50,3.8,"II Lima"
20121120122027,-11.69,-77.72,61,4.1,"II Lima Ancon"
20121122041209,-14.63,-76.08,40,4.6,"II-III Ica"
20121122062055,-15.78,-74.79,45,4.2,"II Acari- Chala"
20121123082057,-11.18,-78.08,64,4.2,"II Barranca"
20121126085056,-12.50,-76.74,49,3.9,"II Lima"
20121127041959,-10.84,-77.72,51,4.4,"III Barranca/ III II Huacho/ II Lima"
20121127100945,-4.68,-76.26,143,5.8,"III Yurimaguas- Lagunas/ II-III Moyobamba"
20121128091551,-9.25,-75.98,22,4.1,"III Tingo Maria"
